OrderID,Date,ProductID,ProductName,QuantitySold,UnitPrice
1001,2025-06-15,P006,Solar Lantern,6,22.99
1002,2025-06-11,P008,Biodegradable Phone Case,7,9.49
1003,2025-06-09,P001,Steel Water Bottle,2,15.99
1004,2025-06-22,P008,Biodegradable Phone Case,6,9.49
1005,2025-06-22,P009,Hemp Notebook,1,4.29
1006,2025-06-19,P010,Compostable Garbage Bag,9,0.89
1007,2025-06-21,P008,Biodegradable Phone Case,10,9.49
1008,2025-06-17,P003,Cotton Tote Bag,7,5.99
1009,2025-06-20,P001,Steel Water Bottle,3,15.99
1010,2025-06-16,P004,Reusable Straw,16,1.99
1011,2025-06-30,P010,Compostable Garbage Bag,11,0.89
1012,2025-06-25,P006,Solar Lantern,11,22.99
1013,2025-06-20,P004,Reusable Straw,7,1.99
1014,2025-06-30,P005,Glass Lunchbox,3,12.49
1015,2025-06-12,P006,Solar Lantern,3,22.99
1016,2025-06-11,P004,Reusable Straw,30,1.99
1017,2025-06-05,P002,Bamboo Toothbrush,17,3.49
1018,2025-06-07,P006,Solar Lantern,18,22.99
1019,2025-06-14,P008,Biodegradable Phone Case,15,9.49
1020,2025-06-11,P004,Reusable Straw,3,1.99
1021,2025-06-17,P008,Biodegradable Phone Case,19,9.49
1022,2025-06-04,P002,Bamboo Toothbrush,2,3.49
1023,2025-06-29,P008,Biodegradable Phone Case,2,9.49
1024,2025-06-12,P003,Cotton Tote Bag,16,5.99
1025,2025-06-11,P001,Steel Water Bottle,24,15.99
1026,2025-06-04,P005,Glass Lunchbox,12,12.49
1027,2025-06-18,P002,Bamboo Toothbrush,18,3.49
1028,2025-06-02,P006,Solar Lantern,14,22.99
1029,2025-06-28,P002,Bamboo Toothbrush,19,3.49
1030,2025-06-08,P005,Glass Lunchbox,13,12.49
1031,2025-06-01,P004,Reusable Straw,24,1.99
1032,2025-06-16,P006,Solar Lantern,5,22.99
1033,2025-06-13,P006,Solar Lantern,10,22.99
1034,2025-06-06,P004,Reusable Straw,18,1.99
1035,2025-06-23,P007,Organic Shampoo Bar,28,6.99
1036,2025-06-20,P003,Cotton Tote Bag,4,5.99
1037,2025-06-12,P009,Hemp Notebook,19,4.29
1038,2025-06-12,P004,Reusable Straw,14,1.99
1039,2025-06-16,P005,Glass Lunchbox,3,12.49
1040,2025-06-17,P004,Reusable Straw,23,1.99
1041,2025-06-10,P003,Cotton Tote Bag,3,5.99
1042,2025-06-30,P001,Steel Water Bottle,27,15.99
1043,2025-06-18,P006,Solar Lantern,2,22.99
1044,2025-06-19,P009,Hemp Notebook,13,4.29
1045,2025-06-18,P009,Hemp Notebook,2,4.29
1046,2025-06-24,P003,Cotton Tote Bag,6,5.99
1047,2025-06-18,P009,Hemp Notebook,18,4.29
1048,2025-06-17,P009,Hemp Notebook,28,4.29
1049,2025-06-15,P001,Steel Water Bottle,24,15.99
1050,2025-06-22,P002,Bamboo Toothbrush,3,3.49
1051,2025-06-06,P002,Bamboo Toothbrush,2,3.49
1052,2025-06-19,P003,Cotton Tote Bag,30,5.99
1053,2025-06-23,P001,Steel Water Bottle,18,15.99
1054,2025-06-12,P007,Organic Shampoo Bar,2,6.99
1055,2025-06-20,P008,Biodegradable Phone Case,2,9.49
1056,2025-06-06,P002,Bamboo Toothbrush,30,3.49
1057,2025-06-27,P008,Biodegradable Phone Case,3,9.49
1058,2025-06-23,P006,Solar Lantern,30,22.99
1059,2025-06-01,P001,Steel Water Bottle,15,15.99
1060,2025-06-13,P006,Solar Lantern,2,22.99
1061,2025-06-16,P005,Glass Lunchbox,24,12.49
1062,2025-06-13,P003,Cotton Tote Bag,23,5.99
1063,2025-06-22,P009,Hemp Notebook,5,4.29
1064,2025-06-01,P005,Glass Lunchbox,18,12.49
1065,2025-06-02,P009,Hemp Notebook,13,4.29
1066,2025-06-18,P006,Solar Lantern,8,22.99
1067,2025-06-24,P006,Solar Lantern,20,22.99
1068,2025-06-29,P002,Bamboo Toothbrush,4,3.49
1069,2025-06-15,P007,Organic Shampoo Bar,30,6.99
1070,2025-06-23,P006,Solar Lantern,9,22.99
1071,2025-07-01,P004,Reusable Straw,15,1.99
1072,2025-06-16,P001,Steel Water Bottle,28,15.99
1073,2025-06-07,P009,Hemp Notebook,16,4.29
1074,2025-06-18,P003,Cotton Tote Bag,11,5.99
1075,2025-06-22,P005,Glass Lunchbox,8,12.49
1076,2025-06-20,P005,Glass Lunchbox,9,12.49
1077,2025-06-03,P008,Biodegradable Phone Case,9,9.49
1078,2025-06-24,P006,Solar Lantern,4,22.99
1079,2025-06-12,P006,Solar Lantern,10,22.99
1080,2025-06-07,P003,Cotton Tote Bag,10,5.99
1081,2025-06-08,P007,Organic Shampoo Bar,30,6.99
1082,2025-06-07,P007,Organic Shampoo Bar,3,6.99
1083,2025-06-12,P004,Reusable Straw,4,1.99
1084,2025-06-13,P008,Biodegradable Phone Case,13,9.49
1085,2025-06-11,P007,Organic Shampoo Bar,26,6.99
1086,2025-06-01,P001,Steel Water Bottle,18,15.99
1087,2025-06-26,P010,Compostable Garbage Bag,27,0.89
1088,2025-06-20,P003,Cotton Tote Bag,22,5.99
1089,2025-06-21,P006,Solar Lantern,8,22.99
1090,2025-06-05,P005,Glass Lunchbox,10,12.49
1091,2025-06-29,P008,Biodegradable Phone Case,4,9.49
1092,2025-06-25,P006,Solar Lantern,10,22.99
1093,2025-06-28,P002,Bamboo Toothbrush,17,3.49
1094,2025-06-13,P003,Cotton Tote Bag,16,5.99
1095,2025-06-15,P008,Biodegradable Phone Case,14,9.49
1096,2025-06-14,P002,Bamboo Toothbrush,20,3.49
1097,2025-06-02,P006,Solar Lantern,22,22.99
1098,2025-07-01,P005,Glass Lunchbox,26,12.49
1099,2025-06-19,P001,Steel Water Bottle,1,15.99
1100,2025-07-01,P007,Organic Shampoo Bar,16,6.99
